TimeStamp,ECG Data,GSR Data,EMG Data
4913,507,540,524
4919,508,539,432
4928,522,543,592
4935,508,539,455
4944,518,541,566
4953,519,541,547
4960,518,539,415
4968,520,543,589
4976,501,539,531
4984,501,542,544
4993,492,541,491
5000,489,539,403
5008,500,543,662
5016,486,539,510
5024,497,541,455
5032,495,541,504
5039,490,539,452
5048,504,543,595
5055,494,539,452
5064,496,542,541
5072,480,541,609
5081,494,539,472
5088,570,543,607
5096,641,539,512
5104,731,542,603
5112,717,541,628
5121,561,540,410
5128,487,543,542
5136,435,539,414
5144,446,541,504
5152,459,541,556
5159,466,539,464
5169,477,543,624
5175,472,539,464
5184,483,542,547
5192,482,541,617
5200,485,539,484
5209,494,543,558
5216,486,539,487
5224,498,542,513
5232,497,541,509
5240,499,540,452
5249,506,543,600
5256,497,539,463
5264,509,542,541
5272,509,541,535
5280,509,539,465
5288,523,543,642
5295,518,539,500
5304,531,542,539
5311,530,541,545
5320,534,540,504
5328,543,543,601
5337,534,539,451
5344,542,542,584
5352,534,541,553
5360,526,540,590
5368,524,543,507
5377,501,539,343
5384,503,542,492
5392,490,541,494
5400,483,540,427
5408,485,543,583
5415,472,539,429
5425,483,543,548
5431,479,542,524
5440,479,540,446
5448,489,543,596
5456,481,539,470
5465,497,543,570
5472,492,541,610
5480,491,540,414
5488,500,543,513
5496,493,539,392
5505,506,543,572
5512,501,541,519
5520,500,540,430
5528,510,543,569
5535,500,539,463
5544,512,543,558
5551,506,542,533
5560,503,540,402
5568,512,543,579
5576,506,539,444
5584,523,543,564
5593,516,541,488
5600,517,540,482
5608,526,544,581
5616,518,539,425
5624,529,543,533
5633,515,541,479
5640,506,540,430
5648,502,543,615
5656,489,539,449
5664,499,543,564
5671,492,541,530
5681,494,540,506
5688,500,543,563
5696,492,539,377
5704,504,543,550
5712,498,541,480
5721,502,541,452
5728,496,543,602
5736,472,539,452
5744,504,543,524
5752,589,541,486
5761,678,540,498
5768,750,544,633
5776,699,539,445
5784,544,543,569
5791,456,541,485
5800,438,541,420
5807,458,544,560
5816,465,539,423
5824,481,543,554
5832,474,541,501
5840,480,541,475
5849,487,543,598
5856,479,539,435
5864,491,543,552
5872,487,541,498
5880,492,540,470
5889,501,543,594
5896,494,540,439
5904,507,543,522
5912,504,541,467
5920,508,540,457
5927,515,543,573
5937,508,539,435
5943,521,543,577
5952,518,541,505
5960,525,541,472
5968,535,543,613
5977,529,539,425
5984,542,543,594
5992,534,541,507
6000,538,540,460
6008,541,543,557
6017,528,539,411
6024,533,543,536
6032,516,541,480
6040,507,541,470
6047,504,543,592
6056,486,539,420
6063,490,543,555
6072,479,541,497
6080,479,541,475
6088,483,543,585
6096,476,539,496
6105,488,544,536
6112,481,541,447
6120,486,540,427
6128,492,543,535
6136,487,540,401
6145,501,544,555
6152,494,541,499
6160,497,541,463
6167,504,543,585
6176,496,539,432
6183,509,544,579
6193,499,540,475
6200,505,541,478
6208,509,543,589
6216,499,540,457
6224,510,544,655
6233,501,540,455
6240,505,541,458
6248,507,543,543
6256,498,540,454
6264,511,544,536
6273,503,541,410
6280,506,541,433
6287,512,544,585
6296,500,540,428
6303,512,544,581
6312,501,541,452
6321,510,542,524
6328,511,543,628
6336,502,540,412
6344,513,544,544
6352,504,540,474
6361,508,541,482
6368,511,543,555
6376,503,540,408
6384,515,544,579
6392,505,541,474
6401,510,542,507
6407,512,544,601
6416,505,540,429
6423,517,544,563
6432,507,541,474
6440,513,542,526
6448,515,544,607
6456,510,540,450
6464,525,544,567
6472,516,541,459
6480,521,542,522
6489,527,543,569
6496,524,540,405
6504,532,544,569
6511,515,541,481
6520,512,542,510
6528,506,543,565
6536,496,540,410
6544,507,544,581
6552,496,541,508
6560,502,542,512
6568,503,543,531
6577,497,540,431
6584,507,544,616
6592,496,541,490
6600,493,542,486
6608,480,543,532
6617,496,540,368
6624,584,544,561
6631,664,541,502
6640,744,542,518
6647,700,544,596
6657,529,540,422
6664,464,545,594
6672,438,541,486
6680,463,542,477
6688,474,543,568
6696,471,540,434
6704,483,544,570
6712,477,541,466
6720,483,542,510
6728,486,543,569
6736,483,540,383
6745,498,545,571
6752,490,541,468
6760,499,542,500
6767,502,544,620
6776,497,541,439
6785,510,545,570
6792,503,541,465
6800,512,543,502
6808,515,544,553
6816,513,541,457
6824,527,545,662
6833,520,541,425
6840,530,542,463
6848,536,543,544
6856,534,541,439
6864,547,545,613
6872,536,541,461
6880,543,542,503
6887,544,544,585
6896,531,541,437
6904,533,545,619
6913,513,541,475
6920,510,543,560
6928,501,544,518
6936,485,541,407
6944,489,545,580
6952,473,541,437
6960,477,542,463
6968,478,544,543
6976,474,541,444
6984,486,545,583
6991,478,541,480
7001,489,543,535
7007,490,544,547
7016,484,541,419
7024,498,545,614
7032,489,541,454
7041,499,544,515
7048,499,544,552
7056,494,541,432
7064,506,545,568
7072,495,541,431
7080,504,543,510
7089,502,543,558
7096,499,541,446
7104,509,546,601
7111,499,542,456
7120,507,543,540
7128,504,544,527
7136,498,541,429
7144,510,546,594
7152,498,542,470
7160,507,544,553
7169,503,544,512
7176,499,541,386
7184,510,546,565
7192,499,542,448
7200,507,544,539
7208,504,543,552
7216,500,541,417
7224,511,546,578
7231,501,542,464
