TimeStamp,ECG Data,GSR Data
8686,473,538
8693,477,538
8700,480,538
8707,483,538
8713,486,538
8720,490,538
8726,493,538
8733,495,538
8740,497,538
8747,499,538
8753,501,538
8760,504,538
8766,506,538
8773,509,538
8780,512,538
8786,515,538
8794,517,538
8800,519,538
8806,522,538
8813,525,538
8819,526,538
8826,527,538
8834,529,538
8840,531,538
8846,530,538
8853,527,538
8860,523,538
8866,520,537
8873,515,537
8880,510,537
8886,505,537
8893,500,537
8900,496,537
8906,492,537
8913,489,537
8921,489,537
8926,489,537
8933,489,537
8940,490,537
8946,492,537
8953,494,537
8961,497,537
8966,498,537
8973,500,537
8980,501,537
8986,503,537
8993,504,537
8999,505,537
9007,506,537
9013,506,537
9020,507,537
9026,508,537
9033,509,537
9040,509,536
9047,510,536
9053,513,536
9060,516,536
9066,514,536
9073,513,536
9080,518,536
9086,525,536
9093,531,536
9100,530,536
9106,523,536
9113,514,536
9120,506,536
9126,498,536
9134,494,536
9140,493,536
9146,492,536
9152,493,536
9160,493,536
9166,495,536
9174,496,536
9179,498,536
9186,499,536
9193,500,536
9200,501,535
9206,500,536
9213,489,535
9221,467,535
9226,464,535
9233,504,535
9240,604,535
9246,687,535
9253,770,535
9261,757,535
9266,647,535
9273,492,535
9280,418,535
9286,410,535
9293,437,535
9300,462,535
9306,468,535
9313,472,535
9320,475,535
9326,479,535
9332,481,535
9340,485,535
9347,488,535
9353,491,535
9359,493,535
9366,495,535
9373,498,535
9380,501,535
9387,504,535
9393,506,535
9400,507,535
9406,510,535
9413,512,535
9420,514,535
9426,516,535
9434,521,535
9440,522,535
9446,525,535
9453,526,535
9460,528,535
9466,528,535
9474,529,535
9480,528,535
9486,527,534
9493,526,534
9500,521,534
9506,516,534
9512,510,534
9520,505,534
9526,500,534
9533,496,534
9539,492,534
9546,490,534
9553,490,534
9561,490,534
9566,491,534
9573,492,534
9580,494,534
9586,495,534
9593,498,534
9601,500,534
9606,504,534
9613,508,534
9620,508,534
9626,509,534
9633,508,534
9640,500,534
9646,497,534
9653,498,534
9660,501,534
9666,504,534
